Domain,Indicator,Item,Element,CountryCode,CountryName,Region,Scenario,Units,Year,Value
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,IDN,Indonesia,EAP excluding China,Business As Usual,Tons of nutrients,2035,8589870.56752638
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,IDN,Indonesia,EAP excluding China,Business As Usual,Tons of nutrients,2040,8804421.69667068
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,IDN,Indonesia,EAP excluding China,Business As Usual,Tons of nutrients,2050,9160577.45816134
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,IDN,Indonesia,EAP excluding China,Stratified Societies,Tons of nutrients,2012,6662755.82870072
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,IDN,Indonesia,EAP excluding China,Stratified Societies,Tons of nutrients,2030,8324248.49374097
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,IDN,Indonesia,EAP excluding China,Stratified Societies,Tons of nutrients,2035,8564829.39240575
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,IDN,Indonesia,EAP excluding China,Stratified Societies,Tons of nutrients,2040,8751829.21121148
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,IDN,Indonesia,EAP excluding China,Stratified Societies,Tons of nutrients,2050,9024054.99601068
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,KHM,Cambodia,EAP excluding China,Toward Sustainability,Tons of nutrients,2012,459158.792714983
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,KHM,Cambodia,EAP excluding China,Toward Sustainability,Tons of nutrients,2030,291782.57365466
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,KHM,Cambodia,EAP excluding China,Toward Sustainability,Tons of nutrients,2035,226574.916454473
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,KHM,Cambodia,EAP excluding China,Toward Sustainability,Tons of nutrients,2040,155983.553476824
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,KHM,Cambodia,EAP excluding China,Toward Sustainability,Tons of nutrients,2050,0
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,KHM,Cambodia,EAP excluding China,Business As Usual,Tons of nutrients,2012,459158.792714983
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,KHM,Cambodia,EAP excluding China,Business As Usual,Tons of nutrients,2030,574988.329655331
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,KHM,Cambodia,EAP excluding China,Business As Usual,Tons of nutrients,2035,596148.807670115
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,KHM,Cambodia,EAP excluding China,Business As Usual,Tons of nutrients,2040,614658.988417785
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,KHM,Cambodia,EAP excluding China,Business As Usual,Tons of nutrients,2050,644271.937031259
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,KHM,Cambodia,EAP excluding China,Stratified Societies,Tons of nutrients,2012,459158.792714983
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,KHM,Cambodia,EAP excluding China,Stratified Societies,Tons of nutrients,2030,573882.019559577
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,KHM,Cambodia,EAP excluding China,Stratified Societies,Tons of nutrients,2035,591100.617383594
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,KHM,Cambodia,EAP excluding China,Stratified Societies,Tons of nutrients,2040,603533.25906752
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,KHM,Cambodia,EAP excluding China,Stratified Societies,Tons of nutrients,2050,617919.77377893
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,LAO,Lao People's Democratic Republic,EAP excluding China,Toward Sustainability,Tons of nutrients,2012,222720.910684609
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,LAO,Lao People's Democratic Republic,EAP excluding China,Toward Sustainability,Tons of nutrients,2030,142290.607215087
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,LAO,Lao People's Democratic Republic,EAP excluding China,Toward Sustainability,Tons of nutrients,2035,110921.542163319
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,LAO,Lao People's Democratic Republic,EAP excluding China,Toward Sustainability,Tons of nutrients,2040,76619.3288373472
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,LAO,Lao People's Democratic Republic,EAP excluding China,Toward Sustainability,Tons of nutrients,2050,0
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,LAO,Lao People's Democratic Republic,EAP excluding China,Business As Usual,Tons of nutrients,2012,222720.910684609
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,LAO,Lao People's Democratic Republic,EAP excluding China,Business As Usual,Tons of nutrients,2030,284910.486285532
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,LAO,Lao People's Democratic Republic,EAP excluding China,Business As Usual,Tons of nutrients,2035,296724.387816484
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,LAO,Lao People's Democratic Republic,EAP excluding China,Business As Usual,Tons of nutrients,2040,306997.127574738
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,LAO,Lao People's Democratic Republic,EAP excluding China,Business As Usual,Tons of nutrients,2050,323675.505265836
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,LAO,Lao People's Democratic Republic,EAP excluding China,Stratified Societies,Tons of nutrients,2012,222720.910684609
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,LAO,Lao People's Democratic Republic,EAP excluding China,Stratified Societies,Tons of nutrients,2030,278376.93610882
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,LAO,Lao People's Democratic Republic,EAP excluding China,Stratified Societies,Tons of nutrients,2035,287272.906903669
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,LAO,Lao People's Democratic Republic,EAP excluding China,Stratified Societies,Tons of nutrients,2040,293670.67330422
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,LAO,Lao People's Democratic Republic,EAP excluding China,Stratified Societies,Tons of nutrients,2050,301047.420812302
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MMR,Myanmar,EAP excluding China,Toward Sustainability,Tons of nutrients,2012,1826970.16536013
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MMR,Myanmar,EAP excluding China,Toward Sustainability,Tons of nutrients,2030,1258528.13423498
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MMR,Myanmar,EAP excluding China,Toward Sustainability,Tons of nutrients,2035,995344.264003891
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MMR,Myanmar,EAP excluding China,Toward Sustainability,Tons of nutrients,2040,696351.270262665
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MMR,Myanmar,EAP excluding China,Toward Sustainability,Tons of nutrients,2050,0
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MMR,Myanmar,EAP excluding China,Business As Usual,Tons of nutrients,2012,1826970.16536013
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MMR,Myanmar,EAP excluding China,Business As Usual,Tons of nutrients,2030,2465802.64204571
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MMR,Myanmar,EAP excluding China,Business As Usual,Tons of nutrients,2035,2590747.26300662
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MMR,Myanmar,EAP excluding China,Business As Usual,Tons of nutrients,2040,2700452.26189981
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MMR,Myanmar,EAP excluding China,Business As Usual,Tons of nutrients,2050,2882269.24464896
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MMR,Myanmar,EAP excluding China,Stratified Societies,Tons of nutrients,2012,1826970.16536013
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MMR,Myanmar,EAP excluding China,Stratified Societies,Tons of nutrients,2030,2424197.98750032
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MMR,Myanmar,EAP excluding China,Stratified Societies,Tons of nutrients,2035,2530915.41510998
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MMR,Myanmar,EAP excluding China,Stratified Societies,Tons of nutrients,2040,2615843.3033344
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MMR,Myanmar,EAP excluding China,Stratified Societies,Tons of nutrients,2050,2733947.84048642
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MNG,Mongolia,EAP excluding China,Toward Sustainability,Tons of nutrients,2012,22098.3877883481
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MNG,Mongolia,EAP excluding China,Toward Sustainability,Tons of nutrients,2030,16714.4341956866
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MNG,Mongolia,EAP excluding China,Toward Sustainability,Tons of nutrients,2035,13489.0362042895
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MNG,Mongolia,EAP excluding China,Toward Sustainability,Tons of nutrients,2040,9668.49493973977
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MNG,Mongolia,EAP excluding China,Toward Sustainability,Tons of nutrients,2050,0
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MNG,Mongolia,EAP excluding China,Business As Usual,Tons of nutrients,2012,22098.3877883481
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MNG,Mongolia,EAP excluding China,Business As Usual,Tons of nutrients,2030,31580.2215488411
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MNG,Mongolia,EAP excluding China,Business As Usual,Tons of nutrients,2035,33548.6710981822
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MNG,Mongolia,EAP excluding China,Business As Usual,Tons of nutrients,2040,35496.5810965167
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MNG,Mongolia,EAP excluding China,Business As Usual,Tons of nutrients,2050,39389.8152065053
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MNG,Mongolia,EAP excluding China,Stratified Societies,Tons of nutrients,2012,22098.3877883481
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MNG,Mongolia,EAP excluding China,Stratified Societies,Tons of nutrients,2030,31947.0399461296
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MNG,Mongolia,EAP excluding China,Stratified Societies,Tons of nutrients,2035,33912.8217981674
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MNG,Mongolia,EAP excluding China,Stratified Societies,Tons of nutrients,2040,35752.2407162554
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MNG,Mongolia,EAP excluding China,Stratified Societies,Tons of nutrients,2050,39250.0180796522
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MYS,Malaysia,EAP excluding China,Toward Sustainability,Tons of nutrients,2012,1592916.55033304
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MYS,Malaysia,EAP excluding China,Toward Sustainability,Tons of nutrients,2030,1161355.64319626
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MYS,Malaysia,EAP excluding China,Toward Sustainability,Tons of nutrients,2035,921679.842940179
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MYS,Malaysia,EAP excluding China,Toward Sustainability,Tons of nutrients,2040,647447.281494319
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MYS,Malaysia,EAP excluding China,Toward Sustainability,Tons of nutrients,2050,0
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MYS,Malaysia,EAP excluding China,Business As Usual,Tons of nutrients,2012,1592916.55033304
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MYS,Malaysia,EAP excluding China,Business As Usual,Tons of nutrients,2030,2243866.96246691
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MYS,Malaysia,EAP excluding China,Business As Usual,Tons of nutrients,2035,2355744.08508664
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MYS,Malaysia,EAP excluding China,Business As Usual,Tons of nutrients,2040,2458867.76711854
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MYS,Malaysia,EAP excluding China,Business As Usual,Tons of nutrients,2050,2648561.96388661
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MYS,Malaysia,EAP excluding China,Stratified Societies,Tons of nutrients,2012,1592916.55033304
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MYS,Malaysia,EAP excluding China,Stratified Societies,Tons of nutrients,2030,2270576.63634288
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MYS,Malaysia,EAP excluding China,Stratified Societies,Tons of nutrients,2035,2403971.9559739
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MYS,Malaysia,EAP excluding China,Stratified Societies,Tons of nutrients,2040,2527605.02291379
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,MYS,Malaysia,EAP excluding China,Stratified Societies,Tons of nutrients,2050,2757066.55300219
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PHL,Philippines,EAP excluding China,Toward Sustainability,Tons of nutrients,2012,2053418.45715417
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PHL,Philippines,EAP excluding China,Toward Sustainability,Tons of nutrients,2030,1323178.73354069
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PHL,Philippines,EAP excluding China,Toward Sustainability,Tons of nutrients,2035,1040090.19181584
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PHL,Philippines,EAP excluding China,Toward Sustainability,Tons of nutrients,2040,724516.33415436
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PHL,Philippines,EAP excluding China,Toward Sustainability,Tons of nutrients,2050,0
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PHL,Philippines,EAP excluding China,Business As Usual,Tons of nutrients,2012,2053418.45715417
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PHL,Philippines,EAP excluding China,Business As Usual,Tons of nutrients,2030,2605567.46095408
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PHL,Philippines,EAP excluding China,Business As Usual,Tons of nutrients,2035,2722456.57604256
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PHL,Philippines,EAP excluding China,Business As Usual,Tons of nutrients,2040,2827574.13143174
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PHL,Philippines,EAP excluding China,Business As Usual,Tons of nutrients,2050,3010247.67868634
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PHL,Philippines,EAP excluding China,Stratified Societies,Tons of nutrients,2012,2053418.45715417
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PHL,Philippines,EAP excluding China,Stratified Societies,Tons of nutrients,2030,2571309.1957111
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PHL,Philippines,EAP excluding China,Stratified Societies,Tons of nutrients,2035,2674031.99355404
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PHL,Philippines,EAP excluding China,Stratified Societies,Tons of nutrients,2040,2758588.65556799
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PHL,Philippines,EAP excluding China,Stratified Societies,Tons of nutrients,2050,2887920.95809423
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PRK,Democratic People's Republic of Korea,EAP excluding China,Toward Sustainability,Tons of nutrients,2012,327997.951290199
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PRK,Democratic People's Republic of Korea,EAP excluding China,Toward Sustainability,Tons of nutrients,2030,247630.137158464
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PRK,Democratic People's Republic of Korea,EAP excluding China,Toward Sustainability,Tons of nutrients,2035,200206.354562009
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PRK,Democratic People's Republic of Korea,EAP excluding China,Toward Sustainability,Tons of nutrients,2040,143249.204461316
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PRK,Democratic People's Republic of Korea,EAP excluding China,Toward Sustainability,Tons of nutrients,2050,0
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PRK,Democratic People's Republic of Korea,EAP excluding China,Business As Usual,Tons of nutrients,2012,327997.951290199
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PRK,Democratic People's Republic of Korea,EAP excluding China,Business As Usual,Tons of nutrients,2030,501993.309728874
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PRK,Democratic People's Republic of Korea,EAP excluding China,Business As Usual,Tons of nutrients,2035,538790.36432839
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PRK,Democratic People's Republic of Korea,EAP excluding China,Business As Usual,Tons of nutrients,2040,572973.463125883
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PRK,Democratic People's Republic of Korea,EAP excluding China,Business As Usual,Tons of nutrients,2050,636772.524859549
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PRK,Democratic People's Republic of Korea,EAP excluding China,Stratified Societies,Tons of nutrients,2012,327997.951290199
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PRK,Democratic People's Republic of Korea,EAP excluding China,Stratified Societies,Tons of nutrients,2030,508957.214784102
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PRK,Democratic People's Republic of Korea,EAP excluding China,Stratified Societies,Tons of nutrients,2035,550710.075368153
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PRK,Democratic People's Republic of Korea,EAP excluding China,Stratified Societies,Tons of nutrients,2040,589499.022015219
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,PRK,Democratic People's Republic of Korea,EAP excluding China,Stratified Societies,Tons of nutrients,2050,662124.698131508
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,THA,Thailand,EAP excluding China,Toward Sustainability,Tons of nutrients,2012,2723105.11070785
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,THA,Thailand,EAP excluding China,Toward Sustainability,Tons of nutrients,2030,1706498.45679701
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,THA,Thailand,EAP excluding China,Toward Sustainability,Tons of nutrients,2035,1322236.76651526
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,THA,Thailand,EAP excluding China,Toward Sustainability,Tons of nutrients,2040,908158.180784922
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,THA,Thailand,EAP excluding China,Toward Sustainability,Tons of nutrients,2050,0
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,THA,Thailand,EAP excluding China,Business As Usual,Tons of nutrients,2012,2723105.11070785
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,THA,Thailand,EAP excluding China,Business As Usual,Tons of nutrients,2030,3373929.20757826
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,THA,Thailand,EAP excluding China,Business As Usual,Tons of nutrients,2035,3487447.3810486
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,THA,Thailand,EAP excluding China,Business As Usual,Tons of nutrients,2040,3588532.03305282
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,THA,Thailand,EAP excluding China,Business As Usual,Tons of nutrients,2050,3753408.38912193
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,THA,Thailand,EAP excluding China,Stratified Societies,Tons of nutrients,2012,2723105.11070785
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,THA,Thailand,EAP excluding China,Stratified Societies,Tons of nutrients,2030,3358011.61872889
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,THA,Thailand,EAP excluding China,Stratified Societies,Tons of nutrients,2035,3461919.70765492
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,THA,Thailand,EAP excluding China,Stratified Societies,Tons of nutrients,2040,3542505.23846174
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,THA,Thailand,EAP excluding China,Stratified Societies,Tons of nutrients,2050,3650241.86958559
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,VNM,Viet Nam,EAP excluding China,Toward Sustainability,Tons of nutrients,2012,2691855.90489888
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,VNM,Viet Nam,EAP excluding China,Toward Sustainability,Tons of nutrients,2030,1766581.00860758
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,VNM,Viet Nam,EAP excluding China,Toward Sustainability,Tons of nutrients,2035,1395308.42046222
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,VNM,Viet Nam,EAP excluding China,Toward Sustainability,Tons of nutrients,2040,976627.420389928
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,VNM,Viet Nam,EAP excluding China,Toward Sustainability,Tons of nutrients,2050,0
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,VNM,Viet Nam,EAP excluding China,Business As Usual,Tons of nutrients,2012,2691855.90489888
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,VNM,Viet Nam,EAP excluding China,Business As Usual,Tons of nutrients,2030,3465025.25338357
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,VNM,Viet Nam,EAP excluding China,Business As Usual,Tons of nutrients,2035,3621737.83209861
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,VNM,Viet Nam,EAP excluding China,Business As Usual,Tons of nutrients,2040,3761068.04400604
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,VNM,Viet Nam,EAP excluding China,Business As Usual,Tons of nutrients,2050,3998432.19306801
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,VNM,Viet Nam,EAP excluding China,Stratified Societies,Tons of nutrients,2012,2691855.90489888
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,VNM,Viet Nam,EAP excluding China,Stratified Societies,Tons of nutrients,2030,3369460.73572814
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,VNM,Viet Nam,EAP excluding China,Stratified Societies,Tons of nutrients,2035,3505766.2591609
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,VNM,Viet Nam,EAP excluding China,Stratified Societies,Tons of nutrients,2040,3616618.33727284
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,VNM,Viet Nam,EAP excluding China,Stratified Societies,Tons of nutrients,2050,3784215.12323165
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,XEAP,Rest of EAP,EAP excluding China,Toward Sustainability,Tons of nutrients,2012,87010.6215262462
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,XEAP,Rest of EAP,EAP excluding China,Toward Sustainability,Tons of nutrients,2030,59703.437916229
